10,2000 Helderberg                                                                                                                                                                                                                                                ,Die Bos 2000,2,14,0
27,2000 Lotus Park                                                                                                                                                                                                                                                ,NULL,2,14,0
12,2000 Orient Hills                                                                                                                                                                                                                                              ,Orient Hills 2000,2,14,0
15,2000 Rontree Estate                                                                                                                                                                                                                                            ,NULL,2,14,0
16,2000 Sanctuary Gardens                                                                                                                                                                                                                                         ,NULL,2,14,0
17,2000 Summerstrand                                                                                                                                                                                                                                              ,NULL,2,14,0
18,2000 Tafelsig                                                                                                                                                                                                                                                  ,NULL,2,14,0
13,2000 Woodhaven                                                                                                                                                                                                                                                 ,NULL,2,14,0
25,2000 Antioch                                                                                                                                                                                                                                                   ,NULL,2,26,0
21,2000 Garagapola                                                                                                                                                                                                                                                ,NULL,2,26,0
23,2000 Gasese                                                                                                                                                                                                                                                    ,NULL,2,26,0
28,2000 Mafefe                                                                                                                                                                                                                                                    ,NULL,2,26,0
20,2000 Makipsvlei                                                                                                                                                                                                                                                ,NULL,2,26,0
24,2000 Qumbu                                                                                                                                                                                                                                                     ,NULL,2,26,0
22,2000 Tambo                                                                                                                                                                                                                                                     ,NULL,2,26,0
72,1999 Helderberg                                                                                                                                                                                                                                                ,Helderberg 99,4,29,0
69,1999 Lotus Park                                                                                                                                                                                                                                                ,Lotus Park 99,4,29,0
70,1999 Orient Hills                                                                                                                                                                                                                                              ,Orient Hills 99,4,29,0
73,1999 Rontree Estate                                                                                                                                                                                                                                            ,Rontree Estate 99,4,29,0
67,1999 Sanctuary Gardens                                                                                                                                                                                                                                         ,Sanctuary Gdns 99,4,29,0
71,1999 Summerstrand                                                                                                                                                                                                                                              ,Summerstrand 99,4,29,0
66,1999 Tafelsig                                                                                                                                                                                                                                                  ,Tafelsig 99,4,29,0
68,1999 Umlazi AA                                                                                                                                                                                                                                                 ,Umlazi 99,4,29,0
53,1998 Claremont                                                                                                                                                                                                                                                 ,Claremont 98,4,30,0
49,1998 Helderberg                                                                                                                                                                                                                                                ,Helderberg 98,4,30,0
55,1998 Lotus Park                                                                                                                                                                                                                                                ,Lotus Prk 98,4,30,0
56,1998 Orient Hills                                                                                                                                                                                                                                              ,Orient Hills 98,4,30,0
54,1998 Tafelsig                                                                                                                                                                                                                                                  ,Tafelsig 98,4,30,0
51,1998 Umgaga                                                                                                                                                                                                                                                    ,Umgaga 98,4,30,0
50,1998 Umlazi AA                                                                                                                                                                                                                                                 ,Umlazi 98,4,30,0
52,1998 Walmer Dunes                                                                                                                                                                                                                                              ,Walmer 98,4,30,0
46,1997 Claremont                                                                                                                                                                                                                                                 ,Claremont 97,4,31,0
42,1997 Helderberg                                                                                                                                                                                                                                                ,Helderberg 97,4,31,0
48,1997 Manyatseng                                                                                                                                                                                                                                                ,Manyasteng 97,4,31,0
43,1997 Sweetwaters                                                                                                                                                                                                                                               ,Sweetwaters 97,4,31,0
44,1997 Umgaga                                                                                                                                                                                                                                                    ,Umgaga 97,4,31,0
45,1997 Umlazi AA                                                                                                                                                                                                                                                 ,Umlazi 97,4,31,0
47,1997 Walmer Dunes                                                                                                                                                                                                                                              ,Walmer Est 97,4,31,0
37,1996 Claremont                                                                                                                                                                                                                                                 ,Claremont 96,4,32,0
36,1996 Manyatseng                                                                                                                                                                                                                                                ,Manyatseng 96,4,32,0
40,1996 Sweetwaters                                                                                                                                                                                                                                               ,Sweetwaters 96,4,32,0
38,1995 Kwazakhele                                                                                                                                                                                                                                                ,Kwazakhele 95/6,4,33,0
39,1995 Umlazi AA                                                                                                                                                                                                                                                 ,Umlazi 95/6,4,33,0
35,1994 Cloetesville                                                                                                                                                                                                                                              ,Cloetesville 94/5,4,34,0
81,1999 Antioch                                                                                                                                                                                                                                                   ,1999 Antioch,4,74,0
82,1999 Garagapola                                                                                                                                                                                                                                                ,1999 Garagopola,4,74,0
83,1999 Gasese                                                                                                                                                                                                                                                    ,1999 Gesese,4,74,0
80,1999 Ivory Park                                                                                                                                                                                                                                                ,1999 Ivory,4,74,0
84,1999 Mafefe                                                                                                                                                                                                                                                    ,1999 Mafefe,4,74,0
79,1999 Makipsvlei                                                                                                                                                                                                                                                ,1999 Makipsvlei,4,74,0
78,1999 Qumbu                                                                                                                                                                                                                                                     ,1999 Qumbu,4,74,0
77,1999 Tambo                                                                                                                                                                                                                                                     ,1999 Tambo,4,74,0
57,1998 Ivory Park                                                                                                                                                                                                                                                ,Ivory Park 98,4,75,0
58,1998 Mafefe                                                                                                                                                                                                                                                    ,Mafefe 98,4,75,0
59,1998 Makipsvlei                                                                                                                                                                                                                                                ,Makipsvlei 98,4,75,0
61,1998 Tambo                                                                                                                                                                                                                                                     ,Tambo 98,4,75,0
60,1997 Makipsvlei                                                                                                                                                                                                                                                ,Makipsvlei 97,4,76,0
62,1997 Tambo                                                                                                                                                                                                                                                     ,Tambo 97,4,76,0
1000101,New Group                                                                                                                                                                                                                                                      ,NULL,0,76,0
1000100,New Group                                                                                                                                                                                                                                                      ,NULL,0,76,0
63,1999 Ongwediva                                                                                                                                                                                                                                                 ,Ongwediva 99,4,90,0
64,1999 Walvis Bay                                                                                                                                                                                                                                                ,Walvis Bay 99,4,90,0
65,1999 Windhoek A                                                                                                                                                                                                                                                ,Windhoek 99,4,90,0
86,2000 Ongwediva                                                                                                                                                                                                                                                 ,Ongwediva 2000,5,91,0
88,2000 Walvis Bay                                                                                                                                                                                                                                                ,Walvis Bay 2000,5,91,0
85,2000 Windhoek A                                                                                                                                                                                                                                                ,Windhoek A 2000,5,91,0
87,2000 Windhoek B                                                                                                                                                                                                                                                ,Windhoek B 2000,5,91,0
93,2001 Ongwediva                                                                                                                                                                                                                                                 ,NULL,5,92,0
94,2001 Walvis Bay                                                                                                                                                                                                                                                ,NULL,5,92,0
95,2001 Windhoek A                                                                                                                                                                                                                                                ,NULL,5,92,0
96,2001 Windhoek B                                                                                                                                                                                                                                                ,NULL,5,92,0
100,2001 Antioch                                                                                                                                                                                                                                                   ,NULL,2,97,0
98,2001 Garagapola                                                                                                                                                                                                                                                ,NULL,2,97,0
101,2001 Gasese                                                                                                                                                                                                                                                    ,NULL,2,97,0
102,2001 Mafefe                                                                                                                                                                                                                                                    ,NULL,2,97,0
104,2001 Mfazazane                                                                                                                                                                                                                                                 ,NULL,2,97,0
103,2001 Tambo                                                                                                                                                                                                                                                     ,NULL,2,97,0
105,2001 Bassonia                                                                                                                                                                                                                                                  ,NULL,0,99,0
107,2001 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,99,0
108,2001 Kabega                                                                                                                                                                                                                                                    ,NULL,2,99,0
109,2001 Moreletta Park                                                                                                                                                                                                                                            ,NULL,2,99,0
110,2001 Welgemoed                                                                                                                                                                                                                                                 ,NULL,2,99,0
106,2001 Westridge                                                                                                                                                                                                                                                 ,NULL,2,99,0
111,2001 Woodhaven                                                                                                                                                                                                                                                 ,NULL,2,99,0
113,2002 Antioch                                                                                                                                                                                                                                                   ,NULL,2,112,0
114,2002 Garagapola                                                                                                                                                                                                                                                ,NULL,2,112,0
115,2002 Gasese                                                                                                                                                                                                                                                    ,NULL,2,112,0
1000005,2002 Ikgomotseng                                                                                                                                                                                                                                               ,NULL,2,112,0
2000003,2002 Maconqo                                                                                                                                                                                                                                                   ,NULL,2,112,0
116,2002 Mafefe                                                                                                                                                                                                                                                    ,NULL,2,112,0
2000002,2002 Matshana                                                                                                                                                                                                                                                  ,NULL,2,112,0
117,2002 Mfazazane                                                                                                                                                                                                                                                 ,NULL,2,112,0
118,2002 Tambo                                                                                                                                                                                                                                                     ,NULL,2,112,0
120,2002 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,119,0
121,2002 Kabega                                                                                                                                                                                                                                                    ,NULL,2,119,0
122,2002 Moreletta Park                                                                                                                                                                                                                                            ,NULL,2,119,0
123,2002 Welgemoed                                                                                                                                                                                                                                                 ,NULL,2,119,0
124,2002 Westridge                                                                                                                                                                                                                                                 ,NULL,2,119,0
125,2002 Woodhaven                                                                                                                                                                                                                                                 ,NULL,2,119,0
1000007,2003 Antioch                                                                                                                                                                                                                                                   ,NULL,2,1000006,0
1000008,2003 Garagapola                                                                                                                                                                                                                                                ,NULL,2,1000006,0
1000009,2003 Gasese                                                                                                                                                                                                                                                    ,NULL,2,1000006,0
1000010,2003 Ikgomotseng                                                                                                                                                                                                                                               ,NULL,2,1000006,0
1000011,2003 Maconqo                                                                                                                                                                                                                                                   ,NULL,2,1000006,0
1000012,2003 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000006,0
1000013,2003 Mfazazane                                                                                                                                                                                                                                                 ,NULL,2,1000006,0
1000014,2003 Tambo                                                                                                                                                                                                                                                     ,NULL,2,1000006,0
1000016,2003 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,1000015,0
1000017,2003 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000015,0
1000018,2003 Moreletta Park                                                                                                                                                                                                                                            ,NULL,2,1000015,0
1000019,2003 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000015,0
1000023,2004 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,1000020,0
1000025,2004 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000020,0
1000024,2004 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000020,0
1000028,2004 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000021,0
1000029,2004 Driekoppies                                                                                                                                                                                                                                               ,NULL,2,1000021,0
1000027,2004 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000021,0
1000022,2004 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000021,0
1000026,2004 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000021,0
1000031,2005 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000030,0
1000036,2005 Driekoppies                                                                                                                                                                                                                                               ,NULL,2,1000030,0
1000033,2005 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000030,0
1000034,2005 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000030,0
1000032,2005 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000030,0
1000035,2005 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000030,0
1000038,2005 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,1000037,0
1000039,2005 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000037,0
1000041,2005 La Lucia                                                                                                                                                                                                                                                  ,NULL,2,1000037,0
1000040,2005 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000037,0
1000042,2005 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000037,0
1000054,2006 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000047,0
1000055,2006 Driekoppies                                                                                                                                                                                                                                               ,NULL,2,1000047,0
1000056,2006 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000047,0
1000057,2006 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000047,0
1000059,2006 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000047,0
1000060,2006 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000047,0
1000049,2006 Greenturf                                                                                                                                                                                                                                                 ,NULL,2,1000048,0
1000050,2006 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000048,0
1000051,2006 La Lucia                                                                                                                                                                                                                                                  ,NULL,2,1000048,0
1000052,2006 Westridge                                                                                                                                                                                                                                                 ,NULL,2,1000048,0
1000053,2006 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000048,0
1000062,2007 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000061,0
1000063,2007 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000061,0
1000064,2007 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000061,0
1000065,2007 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000061,0
1000066,2007 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000061,0
1000068,2007 Kabega                                                                                                                                                                                                                                                    ,NULL,2,1000067,0
1000069,2007 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000067,0
1000071,2008 Woodhill                                                                                                                                                                                                                                                  ,NULL,2,1000070,0
1000075,2008 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000074,0
1000076,2008 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000074,0
1000077,2008 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000074,0
1000078,2008 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000074,0
1000079,2008 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000074,0
1000081,2009 Dinokana                                                                                                                                                                                                                                                  ,NULL,2,1000080,0
1000082,2009 Khayalitsha                                                                                                                                                                                                                                               ,NULL,2,1000080,0
1000083,2009 Matshana                                                                                                                                                                                                                                                  ,NULL,2,1000080,0
1000084,2009 Peacetown                                                                                                                                                                                                                                                 ,NULL,2,1000080,0
1000085,2009 Vlaklaagte                                                                                                                                                                                                                                                ,NULL,2,1000080,0
1000088,2009b Ga-Nkoane                                                                                                                                                                                                                                                ,NULL,1000003,1000080,0
1000092,2009b Matshana                                                                                                                                                                                                                                                 ,NULL,1000003,1000080,0
