ID,AreaName,PlaceName,TLC,X,Y,MainPlace,Municipality,District,Province
12,Orient Hills,Orient Hills,South Durban MLC,30.92,-29.99,Durban,eThekwini,eThekwini,KwaZulu-Natal
13,Woodhaven,Woodhaven,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
15,Rontree Estate,Rontree Estate,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
16,Sanctuary Gardens,Sanctuary Gardens,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
17,Summerstrand,Summerstrand,Port Elizabeth,25.65,-34,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
18,Tafelsig,Tafelsig,Central Cape Town MLC,18.64,-34.06,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
20,Makipsvlei,Makipsvlei,U,18.9,-34.35,Betty's Bay,Overstrand,Overberg,Western Cape
21,Garagapola,Garagapola,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
22,Tambo,Tambo,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
23,Gasese,Gasese,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
24,Qumbu,Qumbu,Qumbu Rural TRC,28.71,-31.09,Mhlontlo NU,Mhlontlo,O.R.Tambo,Eastern Cape
25,Antioch,Antioch,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
27,Lotus Park,Lotus Park,South Durban MLC,30.91,-30,Durban,eThekwini,eThekwini,KwaZulu-Natal
28,Mafefe,Mafefe,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
35,Cloetesville,Cloetesville,Stellenbosch,18.85,-33.9,Cloetesville,Stellenbosch,Cape Winelands,Western Cape
36,Manyatseng,Manyatseng,Ladybrand,27.46,-29.17,Manyatseng,Mantsopa,Thabo Mofutsanyane,Free State
37,Claremont,Claremont,Central Cape Town MLC,18.47,-33.98,Cape Town,City of Cape Town,City of Cape Town,Western Cape
37,Claremont,Claremont,City Council of Pretoria MLC,28.13,-25.71,Pretoria,City of Tshwane,City of Tshwane,Gauteng
38,Kwazakhele,Kwazakhele,Port Elizabeth,25.58,-33.87,iBhayi,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
39,Umlazi AA,Umlazi AA,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
40,Sweetwaters,Sweetwaters,,27.88,-26.43,Kanana Park,City of Johannesburg,City of Johannesburg,Gauteng
42,Helderberg,Helderberg,,18.83,-34.03,Stellenbosch NU,Stellenbosch,Cape Winelands,Western Cape
43,Sweetwaters,Sweetwaters,,27.88,-26.43,Kanana Park,City of Johannesburg,City of Johannesburg,Gauteng
44,Umgaga,Umgaga,U,30.45,-30.63,Sidobe,Hibiscus Coast,Ugu,KwaZulu-Natal
45,Umlazi AA,Umlazi AA,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
46,Claremont,Claremont,Central Cape Town MLC,18.47,-33.98,Cape Town,City of Cape Town,City of Cape Town,Western Cape
46,Claremont,Claremont,City Council of Pretoria MLC,28.13,-25.71,Pretoria,City of Tshwane,City of Tshwane,Gauteng
47,Walmer Dunes,Walmer Dunes,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
48,Manyatseng,Manyatseng,Ladybrand,27.46,-29.17,Manyatseng,Mantsopa,Thabo Mofutsanyane,Free State
49,Helderberg,Helderberg,,18.83,-34.03,Stellenbosch NU,Stellenbosch,Cape Winelands,Western Cape
50,Umlazi AA,Umlazi AA,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
51,Umgaga,Umgaga,U,30.45,-30.63,Sidobe,Hibiscus Coast,Ugu,KwaZulu-Natal
52,Walmer Dunes,Walmer Dunes,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
53,Claremont,Claremont,Central Cape Town MLC,18.47,-33.98,Cape Town,City of Cape Town,City of Cape Town,Western Cape
53,Claremont,Claremont,City Council of Pretoria MLC,28.13,-25.71,Pretoria,City of Tshwane,City of Tshwane,Gauteng
54,Tafelsig,Tafelsig,Central Cape Town MLC,18.64,-34.06,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
55,Lotus Park,Lotus Park,South Durban MLC,30.91,-30,Durban,eThekwini,eThekwini,KwaZulu-Natal
56,Orient Hills,Orient Hills,South Durban MLC,30.92,-29.99,Durban,eThekwini,eThekwini,KwaZulu-Natal
57,Ivory Park,Ivory Park,Midrand/ Rabie Ridge/ Ivory Pa,28.18,-25.99,Ivory Park,City of Johannesburg,City of Johannesburg,Gauteng
58,Mafefe,Mafefe,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
59,Makipsvlei,Makipsvlei,U,18.9,-34.35,Betty's Bay,Overstrand,Overberg,Western Cape
60,Makipsvlei,Makipsvlei,U,18.9,-34.35,Betty's Bay,Overstrand,Overberg,Western Cape
61,Tambo,Tambo,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
62,Tambo,Tambo,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
63,Ongwediva,Ongwediva,U,15.76,-17.77,,,,
64,Walvis Bay,Walvis Bay,U,14.48,-22.98,,,,
65,Windhoek A,Windhoek A,U,17.08,-22.55,,,,
66,Tafelsig,Tafelsig,Central Cape Town MLC,18.64,-34.06,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
67,Sanctuary Gardens,Sanctuary Gardens,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
68,Umlazi AA,Umlazi AA,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
69,Lotus Park,Lotus Park,South Durban MLC,30.91,-30,Durban,eThekwini,eThekwini,KwaZulu-Natal
70,Orient Hills,Orient Hills,South Durban MLC,30.92,-29.99,Durban,eThekwini,eThekwini,KwaZulu-Natal
71,Summerstrand,Summerstrand,Port Elizabeth,25.65,-34,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
72,Helderberg,Helderberg,,18.83,-34.03,Stellenbosch NU,Stellenbosch,Cape Winelands,Western Cape
73,Rontree Estate,Rontree Estate,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
77,Tambo,Tambo,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
78,Qumbu,Qumbu,Qumbu Rural TRC,28.71,-31.09,Mhlontlo NU,Mhlontlo,O.R.Tambo,Eastern Cape
79,Makipsvlei,Makipsvlei,U,18.9,-34.35,Betty's Bay,Overstrand,Overberg,Western Cape
80,Ivory Park,Ivory Park,Midrand/ Rabie Ridge/ Ivory Pa,28.18,-25.99,Ivory Park,City of Johannesburg,City of Johannesburg,Gauteng
81,Antioch,Antioch,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
82,Garagapola,Garagapola,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
83,Gasese,Gasese,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
84,Mafefe,Mafefe,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
85,Windhoek A,Windhoek A,U,17.08,-22.55,,,,
86,Ongwediva,Ongwediva,U,15.76,-17.77,,,,
87,Windhoek B,Windhoek B,U,17.08,-22.55,,,,
88,Walvis Bay,Walvis Bay,U,14.48,-22.98,,,,
93,Ongwediva,Ongwediva,U,15.76,-17.77,,,,
94,Walvis Bay,Walvis Bay,U,14.48,-22.98,,,,
95,Windhoek A,Windhoek A,U,17.08,-22.55,,,,
96,Windhoek B,Windhoek B,U,17.08,-22.55,,,,
98,Garagapola,Garagapola,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
100,Antioch,Antioch,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
101,Gasese,Gasese,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
102,Mafefe,Mafefe,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
103,Tambo,Tambo,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
104,Mfazazane,Mfazazane,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
105,Bassonia,Bassonia,Southern Johannesburg MLC,28.06,-26.27,Johannesburg,City of Johannesburg,City of Johannesburg,Gauteng
106,Westridge,Westridge,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
107,Greenturf,Greenturf,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
108,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
109,Moreletta Park,Moreletta Park,,28.28,-25.81,Pretoria,City of Tshwane,City of Tshwane,Gauteng
110,Welgemoed,Welgemoed,Tygerberg MLC,18.61,-33.87,Bellville,City of Cape Town,City of Cape Town,Western Cape
111,Woodhaven,Woodhaven,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
113,Antioch,Antioch,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
114,Garagapola,Garagapola,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
115,Gasese,Gasese,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
116,Mafefe,Mafefe,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
117,Mfazazane,Mfazazane,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
118,Tambo,Tambo,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
120,Greenturf,Greenturf,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
121,Kabega,Kabega,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
122,Moreletta Park,Moreletta Park,,28.28,-25.81,Pretoria,City of Tshwane,City of Tshwane,Gauteng
123,Welgemoed,Welgemoed,Tygerberg MLC,18.61,-33.87,Bellville,City of Cape Town,City of Cape Town,Western Cape
124,Westridge,Westridge,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
125,Woodhaven,Woodhaven,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
