GroupID,Year,Area,TLC,X,Y,MainPlace,Municipality,District,Province
12,2000,Orient Hills                                                                                                                                                                                                                                              ,South Durban MLC,30.92,-29.99,Durban,eThekwini,eThekwini,KwaZulu-Natal
13,2000,Woodhaven                                                                                                                                                                                                                                                 ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
15,2000,Rontree Estate                                                                                                                                                                                                                                            ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
16,2000,Sanctuary Gardens                                                                                                                                                                                                                                         ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
17,2000,Summerstrand                                                                                                                                                                                                                                              ,Port Elizabeth,25.65,-34,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
18,2000,Tafelsig                                                                                                                                                                                                                                                  ,Central Cape Town MLC,18.64,-34.06,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
20,2000,Makipsvlei                                                                                                                                                                                                                                                ,U,18.9,-34.35,Betty's Bay,Overstrand,Overberg,Western Cape
21,2000,Garagapola                                                                                                                                                                                                                                                ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
22,2000,Tambo                                                                                                                                                                                                                                                     ,Queenstown Rural TRC,26.81,-32.13,Tambo,Lukanji,Chris Hani,Eastern Cape
23,2000,Gasese                                                                                                                                                                                                                                                    ,Bophirima District Council,23.04,-27.11,Ga-Sese,Joe Morolong,John Taolo Gaetsewe,Northern Cape
24,2000,Qumbu                                                                                                                                                                                                                                                     ,Qumbu Rural TRC,28.71,-31.09,Mhlontlo NU,Mhlontlo,O.R.Tambo,Eastern Cape
25,2000,Antioch                                                                                                                                                                                                                                                   ,,30.86,-24.44,Maruleng NU,Maruleng,Mopani,Limpopo
27,2000,Lotus Park                                                                                                                                                                                                                                                ,South Durban MLC,30.91,-30,Durban,eThekwini,eThekwini,KwaZulu-Natal
28,2000,Mafefe                                                                                                                                                                                                                                                    ,Noko-tlou/Fetakgomo RLC,30.11,-24.2,Ga-Mafefe,Lepele-Nkumpi,Capricorn,Limpopo
35,1994,Cloetesville                                                                                                                                                                                                                                              ,Stellenbosch,18.85,-33.9,Cloetesville,Stellenbosch,Cape Winelands,Western Cape
36,1996,Manyatseng                                                                                                                                                                                                                                                ,Ladybrand,27.46,-29.17,Manyatseng,Mantsopa,Thabo Mofutsanyane,Free State
37,1996,Claremont                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.47,-33.98,Cape Town,City of Cape Town,City of Cape Town,Western Cape
37,1996,Claremont                                                                                                                                                                                                                                                 ,City Council of Pretoria MLC,28.13,-25.71,Pretoria,City of Tshwane,City of Tshwane,Gauteng
38,1995,Kwazakhele                                                                                                                                                                                                                                                ,Port Elizabeth,25.58,-33.87,iBhayi,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
39,1995,Umlazi AA                                                                                                                                                                                                                                                 ,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
40,1996,Sweetwaters                                                                                                                                                                                                                                               ,,27.88,-26.43,Kanana Park,City of Johannesburg,City of Johannesburg,Gauteng
42,1997,Helderberg                                                                                                                                                                                                                                                ,,18.83,-34.03,Stellenbosch NU,Stellenbosch,Cape Winelands,Western Cape
43,1997,Sweetwaters                                                                                                                                                                                                                                               ,,27.88,-26.43,Kanana Park,City of Johannesburg,City of Johannesburg,Gauteng
44,1997,Umgaga                                                                                                                                                                                                                                                    ,U,30.45,-30.63,Sidobe,Hibiscus Coast,Ugu,KwaZulu-Natal
45,1997,Umlazi AA                                                                                                                                                                                                                                                 ,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
46,1997,Claremont                                                                                                                                                                                                                                                 ,City Council of Pretoria MLC,28.13,-25.71,Pretoria,City of Tshwane,City of Tshwane,Gauteng
46,1997,Claremont                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.47,-33.98,Cape Town,City of Cape Town,City of Cape Town,Western Cape
47,1997,Walmer Dunes                                                                                                                                                                                                                                              ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
48,1997,Manyatseng                                                                                                                                                                                                                                                ,Ladybrand,27.46,-29.17,Manyatseng,Mantsopa,Thabo Mofutsanyane,Free State
49,1998,Helderberg                                                                                                                                                                                                                                                ,,18.83,-34.03,Stellenbosch NU,Stellenbosch,Cape Winelands,Western Cape
50,1998,Umlazi AA                                                                                                                                                                                                                                                 ,,30.86,-29.97,Umlazi,eThekwini,eThekwini,KwaZulu-Natal
51,1998,Umgaga                                                                                                                                                                                                                                                    ,U,30.45,-30.63,Sidobe,Hibiscus Coast,Ugu,KwaZulu-Natal
52,1998,Walmer Dunes                                                                                                                                                                                                                                              ,U,25.06,-29.04,Letsemeng NU,Letsemeng,Xhariep,Free State
53,1998,Claremont                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.47,-33.98,Cape Town,City of Cape Town,City of Cape Town,Western Cape
53,1998,Claremont                                                                                                                                                                                                                                                 ,City Council of Pretoria MLC,28.13,-25.71,Pretoria,City of Tshwane,City of Tshwane,Gauteng
54,1998,Tafelsig                                                                                                                                                                                                                                                  ,Central Cape Town MLC,18.64,-34.06,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
55,1998,Lotus Park                                                                                                                                                                                                                                                ,South Durban MLC,30.91,-30,Durban,eThekwini,eThekwini,KwaZulu-Natal
56,1998,Orient Hills                                                                                                                                                                                                                                              ,South Durban MLC,30.92,-29.99,Durban,eThekwini,eThekwini,KwaZulu-Natal
57,1998,Ivory Park                                                                                                                                                                                                                                                ,Midrand/ Rabie Ridge/ Ivory Pa,28.18,-25.99,Ivory Park,City of Johannesburg,City of Johannesburg,Gauteng
